source,target,relation,evidence
222INVT011,22355INVT011,shared_library,AUDIT_PROC
222INVT011,22355INVT011,shared_library,CALL_ITM_TRNS_SCR
222INVT011,22355INVT011,shared_library,CHECK_FIELD
222INVT011,22355INVT011,shared_library,Components
222INVT011,22355INVT011,shared_library,DEL_ITM_REC
222INVT011,22355INVT011,shared_library,GET_COST_FOR_ITEMS
222INVT011,22355INVT011,shared_library,GET_LAST_VNDR_FOR_ITM
222INVT011,22355INVT011,shared_library,INSTALL_POS_SALE_QTY_PRC
222INVT011,22355INVT011,shared_library,INSTALL_SALES_ORDER_PRC
222INVT011,22355INVT011,shared_library,INSTLL_RMS_SLS_QTY_ALL_PRC
222INVT011,22355INVT011,shared_library,INSTLL_RMS_SLS_QTY_NOT_AVL_PRC
222INVT011,22355INVT011,shared_library,LD2kwutil
222INVT011,22355INVT011,shared_library,Lyserpdbalib
222INVT011,22355INVT011,shared_library,UPDATEABLE_REC
222INVT011,22355INVT011,shared_library,VALIDATE_QTY
222INVT011,22355INVT011,shared_library,WITHPQTY
222INVT011,22355INVT011,shared_library,WITHPQTY_REPEAT_ITM
222INVT011,22355INVT011,shared_table_reference,ASSEMBLE_KIT_ITEMS
222INVT011,22355INVT011,shared_table_reference,ASSEMBLE_KIT_ITEMS_DET
222INVT011,22355INVT011,shared_table_reference,COST
222INVT011,22355INVT011,shared_table_reference,DISASSEMBLE_KIT_ITEMS
222INVT011,22355INVT011,shared_table_reference,GR_DETAIL
222INVT011,22355INVT011,shared_table_reference,GR_NOTE
222INVT011,22355INVT011,shared_table_reference,IAS_ASSEMBLE_ITM_EXPND
222INVT011,22355INVT011,shared_table_reference,IAS_ITM_DTL
222INVT011,22355INVT011,shared_table_reference,IAS_ITM_WCODE
222INVT011,22355INVT011,shared_table_reference,ITEM_MOVEMENT
222INVT011,22355INVT011,shared_table_reference,KIT_ITEMS
222INVT011,22355INVT011,shared_table_reference,KIT_ITEMS_DETAIL
222INVT011,22355INVT011,shared_table_reference,P40_12_FEB_201408_45_01
222INVT011,22355INVT011,shared_table_reference,RMS_BILL_MST
222INVT011,22355INVT011,shared_table_reference,SALES_ORDER
222INVT011,22355INVT011,shared_table_reference,SALE_COST
222INVT011,22355INVT011,shared_table_reference,WH
222INVT011,2FNGI008,shared_library,H
222INVT011,33INVT011,shared_library,AUDIT_PROC
222INVT011,33INVT011,shared_library,CALL_ITM_TRNS_SCR
222INVT011,33INVT011,shared_library,CHECK_FIELD
222INVT011,33INVT011,shared_library,Components
222INVT011,33INVT011,shared_library,DEL_ITM_REC
222INVT011,33INVT011,shared_library,GET_COST_FOR_ITEMS
222INVT011,33INVT011,shared_library,GET_LAST_VNDR_FOR_ITM
222INVT011,33INVT011,shared_library,INSTALL_POS_SALE_QTY_PRC
222INVT011,33INVT011,shared_library,INSTALL_SALES_ORDER_PRC
222INVT011,33INVT011,shared_library,INSTLL_RMS_SLS_QTY_ALL_PRC
222INVT011,33INVT011,shared_library,INSTLL_RMS_SLS_QTY_NOT_AVL_PRC
222INVT011,33INVT011,shared_library,LD2kwutil
222INVT011,33INVT011,shared_library,Lyserpdbalib
222INVT011,33INVT011,shared_library,UPDATEABLE_REC
222INVT011,33INVT011,shared_library,VALIDATE_QTY
222INVT011,33INVT011,shared_library,WITHPQTY
222INVT011,33INVT011,shared_library,WITHPQTY_REPEAT_ITM
222INVT011,33INVT011,shared_table_reference,ASSEMBLE_KIT_ITEMS
222INVT011,33INVT011,shared_table_reference,ASSEMBLE_KIT_ITEMS_DET
222INVT011,33INVT011,shared_table_reference,COST
222INVT011,33INVT011,shared_table_reference,DISASSEMBLE_KIT_ITEMS
222INVT011,33INVT011,shared_table_reference,GR_DETAIL
222INVT011,33INVT011,shared_table_reference,GR_NOTE
222INVT011,33INVT011,shared_table_reference,IAS_ASSEMBLE_ITM_EXPND
222INVT011,33INVT011,shared_table_reference,IAS_BATCH_NO
222INVT011,33INVT011,shared_table_reference,IAS_ITM_BARCODE
222INVT011,33INVT011,shared_table_reference,IAS_ITM_BATCH
222INVT011,33INVT011,shared_table_reference,IAS_ITM_DTL
222INVT011,33INVT011,shared_table_reference,IAS_ITM_WCODE
222INVT011,33INVT011,shared_table_reference,ITEM_MOVEMENT
222INVT011,33INVT011,shared_table_reference,KIT_ITEMS
222INVT011,33INVT011,shared_table_reference,KIT_ITEMS_DETAIL
222INVT011,33INVT011,shared_table_reference,P40_12_FEB_201408_45_01
222INVT011,33INVT011,shared_table_reference,RMS_BILL_MST
222INVT011,33INVT011,shared_table_reference,SALES_ORDER
222INVT011,33INVT011,shared_table_reference,SALE_COST
222INVT011,33INVT011,shared_table_reference,WH
222INVT011,3433INVT011,shared_library,CALL_ITM_TRNS_SCR
222INVT011,3433INVT011,shared_library,CHECK_FIELD
222INVT011,3433INVT011,shared_library,Components
222INVT011,3433INVT011,shared_library,DEL_ITM_REC
222INVT011,3433INVT011,shared_library,GET_COST_FOR_ITEMS
222INVT011,3433INVT011,shared_library,GET_LAST_VNDR_FOR_ITM
222INVT011,3433INVT011,shared_library,INSTALL_POS_SALE_QTY_PRC
222INVT011,3433INVT011,shared_library,INSTALL_SALES_ORDER_PRC
222INVT011,3433INVT011,shared_library,VALIDATE_QTY
222INVT011,3433INVT011,shared_library,WITHPQTY
222INVT011,3433INVT011,shared_library,WITHPQTY_REPEAT_ITM
222INVT011,3433INVT011,shared_table_reference,ASSEMBLE_KIT_ITEMS
222INVT011,3433INVT011,shared_table_reference,ASSEMBLE_KIT_ITEMS_DET
222INVT011,3433INVT011,shared_table_reference,COST
222INVT011,3433INVT011,shared_table_reference,GR_DETAIL
222INVT011,3433INVT011,shared_table_reference,GR_NOTE
222INVT011,3433INVT011,shared_table_reference,IAS_ASSEMBLE_ITM_EXPND
222INVT011,3433INVT011,shared_table_reference,IAS_ITM_DTL
222INVT011,3433INVT011,shared_table_reference,IAS_ITM_WCODE
222INVT011,3433INVT011,shared_table_reference,ITEM_MOVEMENT
222INVT011,3433INVT011,shared_table_reference,KIT_ITEMS
222INVT011,3433INVT011,shared_table_reference,KIT_ITEMS_DETAIL
222INVT011,3433INVT011,shared_table_reference,P40_12_FEB_201408_45_01
222INVT011,3433INVT011,shared_table_reference,SALES_ORDER
222INVT011,3433INVT011,shared_table_reference,WH
222INVT011,ADMI003,shared_library,t
222INVT011,ADMI003,shared_table_reference,IAS_ITEM_PRICE
222INVT011,ADMI003,shared_table_reference,IAS_ITM_DTL
222INVT011,ADMI003,shared_table_reference,IAS_ITM_WCODE
222INVT011,ADMI003,shared_table_reference,IAS_PRICING_LEVELS
222INVT011,ADMI009,shared_table_reference,COST
222INVT011,ADMI011,shared_table_reference,IAS_PRICING_LEVELS
222INVT011,ADMINVI017,shared_table_reference,IAS_ITEM_PRICE
