LANG_NO,FORM_NO,FORM_NAME
2,825,Request Add Discount Reports
2,460,Edit Estimation Budget
2,461,Transformation
2,284,Purchase Return Invoice Type
2,672,Sales Return Reasons
2,1,Setup System
2,2,Admin System
2,41,Accounting System
2,3,General Ledger System
2,42,Inventory System
2,4,Inventory Management System
2,43,Vendors System
2,5,Accounts Payable System
2,44,Customers System
2,6,Accounts Receviable System
2,360,Special System
2,37,Assistance System
2,7,Inputs
2,8,Transactions
2,9,Reports
2,91,Item Levels
2,92,Incoming Types
2,93,Outgoing Types
2,94,Transfer Types
2,95,Request Types
2,96,Pricing Levels
2,97,AP. Parameters
2,98,Vendor Class
2,99,Vendor Degree
2,100,User Login Details
2,101,User Details
2,103,Transaction Privilege
2,104,Unpost
2,105,Auditing
2,106,Branch Details
2,110,Period Locking
2,111,Period Closing
2,112,AP_Inputs
2,113,AP-Transactions
2,114,AP-Reports
2,115,Vendor Groups
2,116,Vendors Deatils
2,117,Vendor Item Details
2,118,Vendor Open Bal
2,119,Lc. Opening Balance
2,120,Purchase Plan
2,121,Delegate Purchase
2,122,Automatic Purchase Request
2,123,Contract Details
2,124,Purchase Invoice
2,125,Purchase Request
2,126,Purchase Order
2,127,Local Goods Received
2,128,Local Purchase Invoice
2,129,Documentary Credits
2,130,Foreign Purchase Invoice
2,131,Foreign Good Received
2,132,Foreign Purchasing Cost
2,133,Purchase Return Invoice
2,704,Others Charg Pur.
2,217,Detail Groups
2,218,Management For Stock Transfer
2,219,Conn. Inv. Acc. By Gl.
2,220,Evaluation Standard
2,221,Items Reevaluation
2,222,Stock Adjustment Types
2,223,Batch No Coding
2,224,Good Received
2,225,Request out Transfer
2,226,Incoming Stock
2,227,Outgoing Stock
2,228,Warehouse Transfer
2,229,Stk_Adjustment
2,230,Manual Inventory
2,231,Repair Order
2,232,Expire Order
2,233,Assemble_kit
2,234,DisAssemble kit
2,235,Warehouse Trns. Received
2,238,Reserve Items Qty.
2,239,Batch No Contents
2,240,Item Serial Desc.Coding
2,241,Items Classification
2,242,Outgoing Plan
2,243,Request Mod. Price
2,244,Reports- Group Details
2,245,reports- Item Details
2,246,reports- Bin Details
2,247,Reports- Pricing Details
2,248,Reports- Open Stock
2,249,Reports- Request Out/Transfer
2,250,Reports- Incoming Stock
2,291,Report - Guarantee Issue
2,292,Report - Guarantee Increase
2,293,Report - Cash and Banks
2,294,Report - Bank Move.
2,295,Report - Limit Accounts. And Balance
2,331,Purchase Plan Reports
2,332,Add Discount Reports For Purchase
2,333,Contract Report
2,334,Purchase Order Check
2,335,Purchase Order Check Report
2,336,Bill Of Exchange Reports
2,337,Purchase System
2,338,Sales System
2,339,Credit Letter System
2,340,Inputs
2,341,Transaction
2,342,Reports
2,343,DataBase Admin.
2,344,Inputs
2,345,Transaction
2,346,Reports
2,347,Common Setup
2,348,Input
2,349,Databse Parameters
2,350,Storage Details
2,351,Net Purchase Reports
2,352,Alert System
2,356,Stocking cutomer
2,400,SalesMan Types
2,401,StockTaking System
2,402,Translate Caption
2,403,Activities Setup
2,404,General Setting
2,550,Move Data Between Accounting Units
2,551,Update Database
2,553,Create New Accounting Unit
2,554,Restore
2,556,Change Password 
2,557,Privileges Reports
2,558,Privileges
2,560,Backup
2,574,Annual Closing
2,575,Unclose Months
2,576,User Group
2,577,Signature
2,580,Heading By User
2,581,Favorite Screen
2,582,Report - Auditing
2,583,Managment Hirarchy
2,584,Employee Details
2,590,Prvilege And Safty
2,591,Closing and Locking
2,593,Company Details
2,594,Archiving System
2,595,Input Privilege
2,596,Screen Privileges
2,597,Daily Closing Accounts
2,601,Reports- Compound Items
2,602,Reports- Item Serial No.
2,604,Items Barcode Printing
2,605,Reports- Bill Of Entry
2,608,Reports- Attachment Movement 
2,609,Reports- Attachment 
2,610,Reports- Item Stock Aging
2,684,Insurances Company Claim Reports
2,808,Item Garanty Card Reports
2,809,Paid
2,810,Receive
2,811,Receipt Document Type
2,1800,Assistant Screen
2,1805,Favorite Accounts
2,1806,Users Messages
2,1808,Contact Details
2,1809,Users Notes
2,1820,Help
2,1900,Systems Control
2,1901,Language
2,1902,Labels
2,1903,Messages
2,1904,Form Details
2,1905,System Flags
2,2200,Management Information System
2,2201,Management System Reports
2,2202,Management General Ledger Reports
2,2203,Management Inventory Reports
2,2204,Management Purchase Reports
2,2205,Management Sales Reports
2,2500,Alert System
2,2501,Parameter Alert
2,2502,Message Screen
2,2503,Account Alert
2,2504,Customer Alert
2,2505,Cheque Alert
2,2510,Show Messages
2,812,Promoter Details
2,405,Background Screen
2,458,Exchange Currency
2,454,Banks Guarantees
2,455,Extend Banks Guarantees
2,456,Canceled/Expropriated Banks Guarantees
