form_no,lang2_name,lang3_name
1,Setup System,
2,Admin System,
3,General Ledger System,
4,Inventory Management System,
5,Accounts Payable System,
6,Accounts Receviable System,
7,Inputs,Saisie du grand livre
8,Transactions,
9,Reports,Rapports du grand livre
10,,Plan comptable
14,,Soldes d'ouverture
15,,Caisses
16,,Banques
18,,Relier les cpts aux centres
19,,Demande d'ouverture de cpt
20,,Ecritures comptables
21,,Bon de paiement
28,,Ajustement bancaire
29,,Autres garanties
30,,Prolongation de garantie
31,,Annulation/confiscation de garantie
33,,Audit des docs
34,,Configuration limites
37,Assistance System,
40,,Report
41,Accounting System,
42,Inventory System,
43,Vendors System,
44,Customers System,
60,,Configuration commune
61,,Configuration du grand livre
62,,Configuration du stock
63,,Configuration des fournisseurs
64,,Configuration des clients
65,,Codification des annexes
66,,Composants des annexes
68,,Configuration des projets
69,,Types d'inventaires
70,,Variables du grand livre
72,,Configuration des monnaies
73,,Configuration du plan comptable
75,,Gestion des cpts
77,,Gestion du stock
78,,Types de docs
79,,Types de garanties
80,,Types d'avis
83,,Zones internationales
84,,Gestion fournisseurs & achats
85,,Gestion clients & ventes
86,,Groupes de banques
88,,Variables du stock
90,,Types d'articles
91,Item Levels,Niveaux d'articles
92,Incoming Types,Types d'approvmt
93,Outgoing Types,Types de sortie de stock
94,Transfer Types,Types de transfert
95,Request Types,Types de demandes
96,Pricing Levels,Niveaux de tarification
97,AP. Parameters,
98,Vendor Class,Types de fournisseurs
99,Vendor Degree,Niveaux des fournisseurs
100,User Login Details,Identification de l'utilisateur
101,User Details,
103,Transaction Privilege,
104,Unpost,Annulation du report
105,Auditing,
106,Branch Details,
110,Period Locking,
111,Period Closing,
112,AP_Inputs,Saisie des fournisseurs
113,AP-Transactions,
114,AP-Reports,Rapports-fournisseurs
115,Vendor Groups,Groupe de fournisseurs
116,Vendors Deatils,
117,Vendor Item Details,
118,Vendor Open Bal,Soldes d'ouverture fournisseurs
119,Lc. Opening Balance,Soldes d'ouverture LC
120,Purchase Plan,Plans d'achats
121,Delegate Purchase,
122,Automatic Purchase Request,Demande d'achat auto
123,Contract Details,
124,Purchase Invoice,Facture d'achat
125,Purchase Request,Demandes d'achat
126,Purchase Order,Ordres d'achat
127,Local Goods Received,Autorisation d'approvmt local
128,Local Purchase Invoice,Facture d'achats locaux
129,Documentary Credits,
130,Foreign Purchase Invoice,Facture d'achats externes
131,Foreign Good Received,Autorisation d'approvmt externe
132,Foreign Purchasing Cost,
133,Purchase Return Invoice,Facture d'avoir d'achat
134,,Remises suppls sur achat
137,,Bon de paiement
138,,Saisie des clients
140,,Rapports des clients
144,,Soldes d'ouverture des clients
149,,Types de structures administratives
151,,Plan de recouvrement
152,,Demandes d'ouverture de cpt
153,,Tarifs des articles
154,,Offres promotionnelles
155,,Offres de prix
156,,Cmds des clients
158,,Factures des ventes
159,,Autorisation d'envoi de facture
160,,Factures des retours des ventes
161,,Aurorisation de restitution facture de retours
165,,Calcul commissions des clients
167,,Ordres de travail
169,,Configuration des achats
173,,Types de factures d'achat
177,,Types de clients
178,,Niveaux des clients
180,,Types de cartes visa
181,,Types d'offres de prix
182,,Types de cmds des clients
183,,Charges des ventes
185,,Codification de la remise
186,,Types de charges des achats
187,,Types de demandes d'achats
189,,Codification commissions des clients
190,,Types d'ordres d'achats
191,,Types d'ordre de travail
192,,Types d'appareils
194,,Codification de remise sur achats
195,,Relier les comptes des ordres de sortie
196,,Types de factures des ventes
197,,Types d'autorisations d'approvmt locaux
199,,Plans des ventes
202,,Rapports du stock
212,,Tarifs d'articles
213,,Stock d'ouverture
215,,Relier articles aux annexes
217,Detail Groups,
218,Management For Stock Transfer,Gestion de la rotations de stock
219,Conn. Inv. Acc. By Gl.,Relier les cpts du stock au grand livre
220,Evaluation Standard,
221,Items Reevaluation,Evaluation des articles
222,Stock Adjustment Types,Types d'ajustement de stock
223,Batch No Coding,
224,Good Received,
225,Request out Transfer,
226,Incoming Stock,
227,Outgoing Stock,Ordre de sortie de stock
228,Warehouse Transfer,Transfert de stock
229,Stk_Adjustment,Ajustement de stock
230,Manual Inventory,Inventaire manuel
231,Repair Order,
232,Expire Order,
233,Assemble_kit,
234,DisAssemble kit,
235,Warehouse Trns. Received,
238,Reserve Items Qty.,
239,Batch No Contents,
240,Item Serial Desc.Coding,
241,Items Classification,Classification des articles
242,Outgoing Plan,Plan de sortie de stock
243,Request Mod. Price,Demande modification prix
244,Reports- Group Details,
245,reports- Item Details,
246,reports- Bin Details,Rapports-emplacement articles
247,Reports- Pricing Details,Rapports-tarifs des articles
248,Reports- Open Stock,Rapports-stock d'ouverture
249,Reports- Request Out/Transfer,Rapports-demandes de sortie/transfert
250,Reports- Incoming Stock,
251,,Rapports-ordres de sortie de stock
253,,Rapports-ajustement de stock
254,,Rapports-stock
255,,Rapports-mouvmt de stock
256,,Rapports-taux de rotation
257,,Rapports-limites des articles
258,,Rapports-inventaire manuel
261,,Rapports-autorisation d'approvmt
262,,Rapports-plan comptable
266,,Rapports-soldes d'ouverture
269,,Rapports-bon de paiement
271,,Rapports-notifications
273,,Rapports-guide des projets
