table,column,definition,dump_line
ACCOUNT,A_CODE,VARCHAR2(30),232
ACCOUNT,A_NAME,VARCHAR2(100) NOT NULL ENABLE,232
ACCOUNT,A_NAME_ENG,VARCHAR2(100),232
ACCOUNT,A_LEVEL,"NUMBER(5, 0) CONSTRAINT ""AC_NN_A_LEV"" NOT NULL ENABLE",232
ACCOUNT,A_PARENT,"VARCHAR2(30) CONSTRAINT ""AC_NN_A_PAR"" NOT NULL ENABLE",232
ACCOUNT,A_S_M,"NUMBER(5, 0) CONSTRAINT ""AC_NN_ASM"" NOT NULL ENABLE",232
ACCOUNT,A_GROUPING,"NUMBER(5, 0)",232
ACCOUNT,A_REPORT,"NUMBER(5, 0) CONSTRAINT ""AC_NN_AREP"" NOT NULL ENABLE",232
ACCOUNT,A_ANALYSIS,"NUMBER(10, 0)",232
ACCOUNT,CLASS_NO,"NUMBER(5, 0)",232
ACCOUNT,AC_CLOSE,"NUMBER(1, 0)",232
ACCOUNT,DR,"NUMBER(1, 0)",232
ACCOUNT,CURDIF_CODE,VARCHAR2(30),232
ACCOUNT,USE_CC,"NUMBER(1, 0)",232
ACCOUNT,USE_PJ,"NUMBER(1, 0)",232
ACCOUNT,CONN_PRD,"NUMBER(1, 0)",232
ACCOUNT,FAV_AC,"NUMBER(1, 0)",232
ACCOUNT,FLOW_TYPE,"NUMBER(1, 0)",232
ACCOUNT,INACTIVE_RES,VARCHAR2(250),232
ACCOUNT,INACTIVE_DATE,DATE,232
ACCOUNT,CONF_LAST_DATE,DATE,232
ACCOUNT,AC_OP_NO,VARCHAR2(30),232
ACCOUNT,AC_EXP_TYPE,"NUMBER(2, 0)",232
ACCOUNT,USE_EXP_BRN,"NUMBER(1, 0)",232
ACCOUNT,IMP_XLS,"NUMBER(1, 0)",232
ACCOUNT,AC_DTL_TYP,"NUMBER(2, 0)",232
ACCOUNT,AD_U_ID,"NUMBER(5, 0)",232
ACCOUNT,AD_DATE,DATE,232
ACCOUNT,UP_U_ID,"NUMBER(5, 0)",232
ACCOUNT,UP_DATE,DATE,232
ACCOUNT,UP_CNT,"NUMBER(10, 0)",232
ACCOUNT,PR_REP,"NUMBER(10, 0)",232
ACCOUNT,AD_TRMNL_NM,VARCHAR2(50),232
ACCOUNT,UP_TRMNL_NM,VARCHAR2(50),232
ACCOUNT_CURR,A_CODE,VARCHAR2(30),1023
ACCOUNT_CURR,A_CY,VARCHAR2(7),1023
ACCOUNT_CURR,INACTIVE,"NUMBER(1, 0)",1023
ACCOUNT_CURR,USED,"NUMBER(1, 0)",1023
ACCOUNT_CURR,AD_U_ID,"NUMBER(5, 0)",1023
ACCOUNT_CURR,AD_DATE,DATE,1023
ACCOUNT_CURR,UP_U_ID,"NUMBER(5, 0)",1023
ACCOUNT_CURR,UP_DATE,DATE,1023
ACCOUNT_CURR,UP_CNT,"NUMBER(10, 0)",1023
ACCOUNT_GROUPING,GROUP_NO,"NUMBER(5, 0)",1363
ACCOUNT_GROUPING,GROUP_NAME,VARCHAR2(100) NOT NULL ENABLE,1363
ACCOUNT_GROUPING,GROUP_E_NAME,VARCHAR2(100),1363
ACCOUNT_GROUPING,AD_U_ID,"NUMBER(5, 0)",1363
ACCOUNT_GROUPING,AD_DATE,DATE,1363
ACCOUNT_GROUPING,UP_U_ID,"NUMBER(5, 0)",1363
ACCOUNT_GROUPING,UP_DATE,DATE,1363
ACCOUNT_GROUPING,UP_CNT,"NUMBER(10, 0)",1363
ACCOUNT_GROUPING,PR_REP,"NUMBER(10, 0)",1363
ACCOUNT_GROUPING,AD_TRMNL_NM,VARCHAR2(50),1363
ACCOUNT_GROUPING,UP_TRMNL_NM,VARCHAR2(50),1363
ACCOUNT_REPORT_TYPE,REPORT_TYPE,"NUMBER(5, 0)",1389
ACCOUNT_REPORT_TYPE,REPORT_NAME,VARCHAR2(60) NOT NULL ENABLE,1389
ACCOUNT_REPORT_TYPE,REPORT_E_NAME,VARCHAR2(60),1389
ACCOUNT_REPORT_TYPE,REPORT_BS,"NUMBER(1, 0)",1389
ACCOUNT_REPORT_TYPE,AD_U_ID,"NUMBER(5, 0)",1389
ACCOUNT_REPORT_TYPE,AD_DATE,DATE,1389
ACCOUNT_REPORT_TYPE,UP_U_ID,"NUMBER(5, 0)",1389
ACCOUNT_REPORT_TYPE,UP_DATE,DATE,1389
ACCOUNT_REPORT_TYPE,UP_CNT,"NUMBER(10, 0)",1389
ACCOUNT_REPORT_TYPE,PR_REP,"NUMBER(10, 0)",1389
ACCOUNT_REPORT_TYPE,AD_TRMNL_NM,VARCHAR2(50),1389
ACCOUNT_REPORT_TYPE,UP_TRMNL_NM,VARCHAR2(50),1389
ACCOUNT_TYPES,ACCOUNT_TYPE,"NUMBER(5, 0)",1416
ACCOUNT_TYPES,ACCOUNT_NAME,VARCHAR2(60) NOT NULL ENABLE,1416
ACCOUNT_TYPES,ACCOUNT_E_NAME,VARCHAR2(60),1416
ACCOUNT_TYPES,AFFECTED_BY_TRANS,"NUMBER(1, 0)",1416
ACCOUNT_TYPES,AD_U_ID,"NUMBER(5, 0)",1416
ACCOUNT_TYPES,AD_DATE,DATE,1416
ACCOUNT_TYPES,UP_U_ID,"NUMBER(5, 0)",1416
ACCOUNT_TYPES,UP_DATE,DATE,1416
ACCOUNT_TYPES,UP_CNT,"NUMBER(10, 0)",1416
ACCOUNT_TYPES,PR_REP,"NUMBER(10, 0)",1416
ACCOUNT_TYPES,AD_TRMNL_NM,VARCHAR2(50),1416
ACCOUNT_TYPES,UP_TRMNL_NM,VARCHAR2(50),1416
ALL_BRANCHES,CMP_GRP,"NUMBER(1, 0)",1443
ALL_BRANCHES,CMP_NO,"NUMBER(3, 0)",1443
ALL_BRANCHES,BRN_NO,"NUMBER(6, 0) NOT NULL ENABLE",1443
ALL_BRANCHES,BRN_YEAR,"NUMBER(4, 0)",1443
ALL_BRANCHES,BRN_USR,"NUMBER(3, 0)",1443
