window,category,compiled_size,rebuild_level,source_status,observed_procedures,observed_triggers,observed_libraries,observed_table_indicators,risk_flags,spec_path,next_required_evidence
222INVT011.fmx,other,820280,catalog_specification,FMB_PLL_not_found,67,12,1,280,"credentials,ddl_privilege,destructive,dynamic_sql,windows_native",rebuild_source/forms/all_window_specs/222INVT011.rebuild.md,FMB/PLL/PKS/PKB/DDL/Forms Builder
22355INVT011.fmx,other,611244,catalog_specification,FMB_PLL_not_found,56,9,1,218,"credentials,ddl_privilege,destructive,windows_native",rebuild_source/forms/all_window_specs/22355INVT011.rebuild.md,FMB/PLL/PKS/PKB/DDL/Forms Builder
2FNGI008.fmx,other,826600,catalog_specification,FMB_PLL_not_found,43,8,2,221,"credentials,ddl_privilege,destructive,dynamic_sql,windows_native",rebuild_source/forms/all_window_specs/2FNGI008.rebuild.md,FMB/PLL/PKS/PKB/DDL/Forms Builder
33INVT011.fmx,other,652596,catalog_specification,FMB_PLL_not_found,56,9,1,223,"credentials,ddl_privilege,destructive,dynamic_sql,windows_native",rebuild_source/forms/all_window_specs/33INVT011.rebuild.md,FMB/PLL/PKS/PKB/DDL/Forms Builder
3433INVT011.fmx,other,567884,catalog_specification,FMB_PLL_not_found,50,10,2,207,"credentials,destructive,windows_native",rebuild_source/forms/all_window_specs/3433INVT011.rebuild.md,FMB/PLL/PKS/PKB/DDL/Forms Builder
ADMHRST005.fmx,admin/system,232264,catalog_specification,FMB_PLL_not_found,41,12,1,136,"credentials,ddl_privilege,destructive,windows_native",rebuild_source/forms/all_window_specs/ADMHRST005.rebuild.md,FMB/PLL/PKS/PKB/DDL/Forms Builder
ADMHRST006.fmx,admin/system,203012,catalog_specification,FMB_PLL_not_found,39,10,1,101,"credentials,ddl_privilege,destructive,windows_native",rebuild_source/forms/all_window_specs/ADMHRST006.rebuild.md,FMB/PLL/PKS/PKB/DDL/Forms Builder
ADMI001.fmx,admin/system,209868,catalog_specification,FMB_PLL_not_found,33,8,1,73,"credentials,ddl_privilege,destructive,windows_native,session_control",rebuild_source/forms/all_window_specs/ADMI001.rebuild.md,FMB/PLL/PKS/PKB/DDL/Forms Builder
ADMI003.fmx,admin/system,359488,catalog_specification,FMB_PLL_not_found,108,8,1,360,"credentials,ddl_privilege,destructive,windows_native",rebuild_source/forms/all_window_specs/ADMI003.rebuild.md,FMB/PLL/PKS/PKB/DDL/Forms Builder
ADMI004.fmx,admin/system,161732,catalog_specification,FMB_PLL_not_found,32,8,1,53,"credentials,ddl_privilege,destructive,windows_native",rebuild_source/forms/all_window_specs/ADMI004.rebuild.md,FMB/PLL/PKS/PKB/DDL/Forms Builder
