source,target,relation
3433INVT011,INV_ITM_TRNS,compiled_reference
ADMI005,GENS018,compiled_reference
AMSR001,AMSR001_DTL,report_reference
AMSR004,AMSR004_DTL,report_reference
AMSR005,AMSR005_DTL,report_reference
AMSR005,AMSR005_SUM,report_reference
AMSR006,AMSR006_DTL,report_reference
AMSR007,AMSR007_SUM,report_reference
AMSR008,AMSR008_SUM,report_reference
AMSR010,AMSR010_DTL,report_reference
AMSR011,AMSR011_DTL,report_reference
AMSR012,AMSR012_DTL,report_reference
AMSR013,AMSR013_SUM,report_reference
AMSR013,AMSR014_SUM,report_reference
AMSR014,AMSR015_DTL,report_reference
APSI002,APSI008,compiled_reference
APSI002,APST005,compiled_reference
APSI002,APST010,compiled_reference
APSI002,APST013,compiled_reference
APSI002,ARST004,compiled_reference
APSI002,ARST006,compiled_reference
APSI002,ARST016,compiled_reference
APSI002,ERP_CODE_TRNS,compiled_reference
APSI002,GLST001,compiled_reference
APSI002,GLST002,compiled_reference
APSI002,GLST004,compiled_reference
APSI002,INVT003,compiled_reference
APSI002,INVT004,compiled_reference
APST001,APST015,compiled_reference
APST001,INVI023,compiled_reference
APST001,INV_ITM_TRNS,compiled_reference
APST001,YS_ICODE_LOV,compiled_reference
APST002,YS_ICODE_LOV,compiled_reference
APST003,APST011,compiled_reference
APST003,INVI010,compiled_reference
APST003,INVI023,compiled_reference
APST003,INV_ITM_TRNS,compiled_reference
APST003,YS_ICODE_LOV,compiled_reference
APST005,ERP_CODE_TRNS,compiled_reference
APST005,INVI010,compiled_reference
APST005,INVI023,compiled_reference
APST005,INV_ITM_TRNS,compiled_reference
APST005,INV_REEVALUATION,compiled_reference
APST005,YS_ICODE_LOV,compiled_reference
APST006,APST005,compiled_reference
APST006,GLST001,compiled_reference
APST010,ERP_CODE_TRNS,compiled_reference
APST010,INV_ITM_TRNS,compiled_reference
APST010,YS_ICODE_LOV,compiled_reference
APST013,INVT007,compiled_reference
APST017,GLST001,compiled_reference
APST019,ERP_CODE_TRNS,compiled_reference
APST019,YS_ICODE_LOV,compiled_reference
