window_id,legacy_form,domain,category,migration_phase,compatibility_layer,core_api,standard_field_count,window_field_evidence_count,actions,production_status
222INVT011,222INVT011.fmx,OTHER,other,0,ONEX_ADMIN_COMPAT,ONEX_OTHER_WINDOW_API,10,2423,initialize|query|new|validate|save|update|delete|approve|post|reverse|print|refresh|exit,NOT_READY_FOR_PRODUCTION
22355INVT011,22355INVT011.fmx,OTHER,other,0,ONEX_ADMIN_COMPAT,ONEX_OTHER_WINDOW_API,10,1664,initialize|query|new|validate|save|update|delete|approve|post|reverse|print|refresh|exit,NOT_READY_FOR_PRODUCTION
2FNGI008,2FNGI008.fmx,OTHER,other,0,ONEX_ADMIN_COMPAT,ONEX_OTHER_WINDOW_API,10,1951,initialize|query|new|validate|save|update|delete|approve|post|reverse|print|refresh|exit,NOT_READY_FOR_PRODUCTION
33INVT011,33INVT011.fmx,OTHER,other,0,ONEX_ADMIN_COMPAT,ONEX_OTHER_WINDOW_API,10,1775,initialize|query|new|validate|save|update|delete|approve|post|reverse|print|refresh|exit,NOT_READY_FOR_PRODUCTION
3433INVT011,3433INVT011.fmx,OTHER,other,0,ONEX_ADMIN_COMPAT,ONEX_OTHER_WINDOW_API,10,1577,initialize|query|new|validate|save|update|delete|approve|post|reverse|print|refresh|exit,NOT_READY_FOR_PRODUCTION
ADMHRST005,ADMHRST005.fmx,ADMIN,admin/system,0,ONEX_ADMIN_COMPAT,ONEX_ADMIN_WINDOW_API,10,757,initialize|query|new|validate|save|update|delete|approve|post|reverse|print|refresh|exit,NOT_READY_FOR_PRODUCTION
ADMHRST006,ADMHRST006.fmx,ADMIN,admin/system,0,ONEX_ADMIN_COMPAT,ONEX_ADMIN_WINDOW_API,10,648,initialize|query|new|validate|save|update|delete|approve|post|reverse|print|refresh|exit,NOT_READY_FOR_PRODUCTION
ADMI001,ADMI001.fmx,ADMIN,admin/system,0,ONEX_ADMIN_COMPAT,ONEX_ADMIN_WINDOW_API,10,650,initialize|query|new|validate|save|update|delete|approve|post|reverse|print|refresh|exit,NOT_READY_FOR_PRODUCTION
ADMI003,ADMI003.fmx,ADMIN,admin/system,0,ONEX_ADMIN_COMPAT,ONEX_ADMIN_WINDOW_API,10,1467,initialize|query|new|validate|save|update|delete|approve|post|reverse|print|refresh|exit,NOT_READY_FOR_PRODUCTION
ADMI004,ADMI004.fmx,ADMIN,admin/system,0,ONEX_ADMIN_COMPAT,ONEX_ADMIN_WINDOW_API,10,549,initialize|query|new|validate|save|update|delete|approve|post|reverse|print|refresh|exit,NOT_READY_FOR_PRODUCTION
