legacy_form,category,legacy_artifact,compatibility_layer,core_domain,migration_phase,source_evidence,status
222INVT011.fmx,other,FMX/compiled,ONEX_ADMIN_COMPAT,ADMIN,0,docs/window_catalog.csv,MAPPED_NOT_RUNTIME_VERIFIED
22355INVT011.fmx,other,FMX/compiled,ONEX_ADMIN_COMPAT,ADMIN,0,docs/window_catalog.csv,MAPPED_NOT_RUNTIME_VERIFIED
2FNGI008.fmx,other,FMX/compiled,ONEX_ADMIN_COMPAT,ADMIN,0,docs/window_catalog.csv,MAPPED_NOT_RUNTIME_VERIFIED
33INVT011.fmx,other,FMX/compiled,ONEX_ADMIN_COMPAT,ADMIN,0,docs/window_catalog.csv,MAPPED_NOT_RUNTIME_VERIFIED
3433INVT011.fmx,other,FMX/compiled,ONEX_ADMIN_COMPAT,ADMIN,0,docs/window_catalog.csv,MAPPED_NOT_RUNTIME_VERIFIED
ADMHRST005.fmx,admin/system,FMX/compiled,ONEX_ADMIN_COMPAT,ADMIN,0,docs/window_catalog.csv,MAPPED_NOT_RUNTIME_VERIFIED
ADMHRST006.fmx,admin/system,FMX/compiled,ONEX_ADMIN_COMPAT,ADMIN,0,docs/window_catalog.csv,MAPPED_NOT_RUNTIME_VERIFIED
ADMI001.fmx,admin/system,FMX/compiled,ONEX_ADMIN_COMPAT,ADMIN,0,docs/window_catalog.csv,MAPPED_NOT_RUNTIME_VERIFIED
ADMI003.fmx,admin/system,FMX/compiled,ONEX_ADMIN_COMPAT,ADMIN,0,docs/window_catalog.csv,MAPPED_NOT_RUNTIME_VERIFIED
ADMI004.fmx,admin/system,FMX/compiled,ONEX_ADMIN_COMPAT,ADMIN,0,docs/window_catalog.csv,MAPPED_NOT_RUNTIME_VERIFIED
ADMI005.fmx,admin/system,FMX/compiled,ONEX_ADMIN_COMPAT,ADMIN,0,docs/window_catalog.csv,MAPPED_NOT_RUNTIME_VERIFIED
ADMI006.fmx,admin/system,FMX/compiled,ONEX_ADMIN_COMPAT,ADMIN,0,docs/window_catalog.csv,MAPPED_NOT_RUNTIME_VERIFIED
ADMI007.fmx,admin/system,FMX/compiled,ONEX_ADMIN_COMPAT,ADMIN,0,docs/window_catalog.csv,MAPPED_NOT_RUNTIME_VERIFIED
ADMI008.fmx,admin/system,FMX/compiled,ONEX_ADMIN_COMPAT,ADMIN,0,docs/window_catalog.csv,MAPPED_NOT_RUNTIME_VERIFIED
ADMI009.fmx,admin/system,FMX/compiled,ONEX_ADMIN_COMPAT,ADMIN,0,docs/window_catalog.csv,MAPPED_NOT_RUNTIME_VERIFIED
ADMI010.fmx,admin/system,FMX/compiled,ONEX_ADMIN_COMPAT,ADMIN,0,docs/window_catalog.csv,MAPPED_NOT_RUNTIME_VERIFIED
