file,category,size,strings,sql_like,procedures,triggers,libraries,form_refs,tables,risks
222INVT011.fmx,other,820280,2423,158,67,12,1,0,280,"credentials,ddl_privilege,destructive,dynamic_sql,windows_native"
22355INVT011.fmx,other,611244,1664,111,56,9,1,0,218,"credentials,ddl_privilege,destructive,windows_native"
2FNGI008.fmx,other,826600,1951,37,43,8,2,0,221,"credentials,ddl_privilege,destructive,dynamic_sql,windows_native"
33INVT011.fmx,other,652596,1775,130,56,9,1,0,223,"credentials,ddl_privilege,destructive,dynamic_sql,windows_native"
3433INVT011.fmx,other,567884,1577,105,50,10,2,1,207,"credentials,destructive,windows_native"
ADMHRST005.fmx,admin/system,232264,757,27,41,12,1,0,136,"credentials,ddl_privilege,destructive,windows_native"
ADMHRST006.fmx,admin/system,203012,648,19,39,10,1,0,101,"credentials,ddl_privilege,destructive,windows_native"
ADMI001.fmx,admin/system,209868,650,17,33,8,1,0,73,"credentials,ddl_privilege,destructive,windows_native,session_control"
ADMI003.fmx,admin/system,359488,1467,147,108,8,1,0,360,"credentials,ddl_privilege,destructive,windows_native"
ADMI004.fmx,admin/system,161732,549,17,32,8,1,0,53,"credentials,ddl_privilege,destructive,windows_native"
ADMI005.fmx,admin/system,391908,1289,99,41,9,2,1,172,"credentials,ddl_privilege,destructive,windows_native"
ADMI006.fmx,admin/system,215040,690,30,35,8,1,0,77,"credentials,ddl_privilege,destructive,windows_native"
ADMI007.fmx,admin/system,195672,646,35,35,8,1,0,69,"credentials,ddl_privilege,destructive,dynamic_sql,windows_native"
ADMI008.fmx,admin/system,195304,641,32,35,8,1,0,67,"credentials,ddl_privilege,destructive,dynamic_sql,windows_native"
ADMI009.fmx,admin/system,268360,985,46,34,8,1,0,122,"credentials,ddl_privilege,destructive,windows_native"
ADMI010.fmx,admin/system,188184,619,24,35,8,1,0,70,"credentials,ddl_privilege,destructive,dynamic_sql,windows_native"
ADMI011.fmx,admin/system,419540,1427,65,42,8,1,0,184,"credentials,ddl_privilege,destructive,windows_native"
ADMI012.fmx,admin/system,722332,752,31,35,8,1,0,77,"credentials,ddl_privilege,destructive,windows_native"
ADMI013.fmx,admin/system,161828,532,14,35,8,1,0,62,"credentials,ddl_privilege,destructive,windows_native"
ADMI014.fmx,admin/system,182696,582,22,34,8,1,0,59,"credentials,ddl_privilege,destructive,windows_native"
ADMI015.fmx,admin/system,156292,515,8,32,8,1,0,50,"credentials,ddl_privilege,destructive,windows_native"
ADMI016.fmx,admin/system,202552,676,24,34,8,1,0,75,"credentials,ddl_privilege,destructive,dynamic_sql,windows_native"
ADMI020.fmx,admin/system,174568,585,18,34,8,1,0,57,"credentials,ddl_privilege,destructive,windows_native"
ADMI021.fmx,admin/system,181148,616,25,33,10,1,0,78,"credentials,ddl_privilege,destructive,dynamic_sql,windows_native"
ADMINVI017.fmx,admin/system,294916,1037,110,36,8,1,0,146,"credentials,ddl_privilege,destructive,dynamic_sql,windows_native"
ADMQ001.fmx,admin/system,157720,527,7,33,8,1,0,55,"credentials,ddl_privilege,destructive,windows_native"
ADMQ002.fmx,admin/system,193028,608,10,32,8,2,0,61,"credentials,ddl_privilege,destructive,windows_native"
ADMQ003.fmx,admin/system,200468,650,17,36,8,1,0,80,"credentials,ddl_privilege,destructive,windows_native"
ADMR010.fmx,admin/system,124060,436,33,15,3,1,0,61,"credentials,destructive"
ADMR020.fmx,admin/system,185884,633,36,22,6,1,0,84,"credentials,destructive,windows_native"
