window,domain,core_api,observed_procedure_count,observed_trigger_count,observed_field_count,observed_table_count,legacy_packages,inferred_operations,confidence,source
222INVT011.fmx,INVENTORY,ONEX_INVENTORY_WINDOW_API,118,8,965,1273,IAS_ACODE_PKG;IAS_ACODE_PKGIAS20142CHK_AC_CODE;IAS_ACODE_PKGIAS20142GET_AC_TYPE;IAS_ACODE_PKGIAS20142GET_A_NAMEI;IAS_ACODE_PKGIAS20142GET_CNT_ACY;IAS_ACODE_PKGIAS20142GET_ONE_ACY_ACI;IAS_ACTV_PKG;IAS_ACTV_PKGIAS20142CHK_ACTV;IAS_ACTV_PKGIAS20142CHK_PRIV_ACTVIAS;IAS_ACTV_PKGIAS20142GET_ACTV_NAMEIAS;IAS_AUDIT_PKG;IAS_AUDIT_PKGIAS20142AUDIT_PRCIA;IAS_AUD_SYS_PKG;IAS_AUD_SYS_PKGIAS20142ADD_DOC_DELIA;IAS_BRN_PKG;IAS_CC_CODE_PKG;IAS_CC_CODE_PKGIAS20142GET_CC_NAMEIA;IAS_CHECK_SYS_PKG;IAS_CHECK_SYS_PKGIAS20142CHECK_INV_CLOSE;IAS_CSHBNK_PKG;IAS_CSHBNK_PKGIAS20142CHECK_ACYI;IAS_CSHBNK_PKGIAS20142CHK_AC_CSH_BNK;IAS_CSHBNK_PKGIAS20142GET_CB_NAMEIAS;IAS_DBS_SYS_PKG;IAS_DBS_SYS_PKGIAS20142CHECK_OBJECTI;IAS_GEN_PKG;IAS_GEN_PKGIAS20142GET_CNTIA;IAS_GEN_PKGIAS20142GET_CURDATEIA;IAS_GEN_PKGIAS20142GET_CUR_RATEI;IAS_GEN_PKGIAS20142GET_DELETE_DOC_PERIOD;IAS_GEN_PKGIAS20142GET_FLD_VALUE;IAS_GEN_PKGIAS20142GET_MSGIA;IAS_GEN_PKGIAS20142GET_PROMPTIAS;IAS_GEN_PKGIAS20142GET_STK_CURIA;IAS_GEN_PKGIAS20142GET_SYSDATEIA;IAS_GEN_PKGIAS20142GET_USR_NMIAS;IAS_GET_DOC_DEL_FNC;IAS_GET_ENC_PASS_FNC;IAS_GET_ENC_PASS_FNCIAS20142IAS_GET_ENC_PASS_FNC;IAS_ITM_INV_PKG,CREATE/SAVE;UPDATE;DELETE/VOID;POST;PRINT,FMX_STRING_EVIDENCE,oracle_forms/deep_catalog/form_field_trigger_catalog.jsonl
22355INVT011.fmx,INVENTORY,ONEX_INVENTORY_WINDOW_API,111,8,660,981,IAS_ACODE_PKG;IAS_ACODE_PKGIAS20142CHK_AC_CODE;IAS_ACODE_PKGIAS20142GET_AC_TYPE;IAS_ACODE_PKGIAS20142GET_A_NAMEI;IAS_ACODE_PKGIAS20142GET_CNT_ACY;IAS_ACODE_PKGIAS20142GET_ONE_ACY_ACI;IAS_ACTV_PKG;IAS_ACTV_PKGIAS20142CHK_ACTV;IAS_ACTV_PKGIAS20142CHK_PRIV_ACTVIAS;IAS_ACTV_PKGIAS20142GET_ACTV_NAMEIAS;IAS_AUDIT_PKG;IAS_AUDIT_PKGIAS20142AUDIT_PRCIA;IAS_AUD_SYS_PKG;IAS_AUD_SYS_PKGIAS20142ADD_DOC_DELIA;IAS_CC_CODE_PKG;IAS_CC_CODE_PKGIAS20142GET_CC_NAMEIA;IAS_CHECK_SYS_PKG;IAS_CHECK_SYS_PKGIAS20142CHECK_INV_CLOSE;IAS_CSHBNK_PKG;IAS_CSHBNK_PKGIAS20142CHECK_ACYI;IAS_CSHBNK_PKGIAS20142CHK_AC_CSH_BNK;IAS_CSHBNK_PKGIAS20142GET_CB_NAMEIAS;IAS_GEN_PKG;IAS_GEN_PKGIAS20142GET_CNTIA;IAS_GEN_PKGIAS20142GET_CURDATEIA;IAS_GEN_PKGIAS20142GET_CUR_RATEI;IAS_GEN_PKGIAS20142GET_DELETE_DOC_PERIOD;IAS_GEN_PKGIAS20142GET_FLD_VALUE;IAS_GEN_PKGIAS20142GET_PROMPTIAS;IAS_GEN_PKGIAS20142GET_STK_CURIA;IAS_GEN_PKGIAS20142GET_SYSDATEIA;IAS_GEN_PKGIAS20142GET_USR_NMIAS;IAS_GET_DOC_DEL_FNC;IAS_GET_ENC_PASS_FNC;IAS_GET_ENC_PASS_FNCIAS20142IAS_GET_ENC_PASS_FNC;IAS_ITM_INV_PKG;IAS_ITM_INV_PKGIAS20142GET_ITM_COSTI;IAS_ITM_INV_PKGIAS20142INSRT_GR_DTLI;IAS_ITM_INV_PKGIAS20142INSRT_GR_MSTI;IAS_ITM_INV_PKGIAS20142INSRT_IAS_ITM_WCODEIA,CREATE/SAVE;UPDATE;DELETE/VOID;POST;PRINT,FMX_STRING_EVIDENCE,oracle_forms/deep_catalog/form_field_trigger_catalog.jsonl
2FNGI008.fmx,ADMIN,ONEX_ADMIN_WINDOW_API,48,8,837,1552,IAS_DBS_SYS_PKG;IAS_GEN_PKG;IAS_GEN_PKGIAS20142GET_MSGIA;IAS_GEN_PKGIAS20142GET_PROMPTIAS;IAS_GET_ENC_PASS_FNC;IAS_GET_ENC_PASS_FNCIAS20142IAS_GET_ENC_PASS_FNC;IAS_PRMTR_PKG;IAS_PRMTR_PKGIAS20142GETPVAL;IAS_USR_PKG;IAS_USR_PKGIAS20142CHK_USR_FRM_PRVIA;IAS_USR_PKGIAS20142GET_USR_APPRV;IAS_USR_PKGIAS20142GET_USR_NMIAS;YS_EMP_PKG;YS_EMP_PKGIAS20142GET_EMP_BRNYS_;YS_EMP_PKGIAS20142GET_EMP_NM;YS_GEN_PKG;YS_GEN_PKGIAS20142CHK_LOCK_RCRDY;YS_GEN_PKGIAS20142GET_USR_FLD_PRVYS_;YS_SRL_SCR_PKG;YS_SRL_SCR_PKGIAS20142GET_SYS_SQ,CREATE/SAVE;UPDATE;DELETE/VOID;POST;PRINT,FMX_STRING_EVIDENCE,oracle_forms/deep_catalog/form_field_trigger_catalog.jsonl
33INVT011.fmx,INVENTORY,ONEX_INVENTORY_WINDOW_API,111,8,759,1015,IAS_ACODE_PKG;IAS_ACODE_PKGIAS20142CHK_AC_CODE;IAS_ACODE_PKGIAS20142GET_AC_TYPE;IAS_ACODE_PKGIAS20142GET_A_NAMEI;IAS_ACODE_PKGIAS20142GET_CNT_ACY;IAS_ACODE_PKGIAS20142GET_ONE_ACY_ACI;IAS_ACTV_PKG;IAS_ACTV_PKGIAS20142CHK_ACTV;IAS_ACTV_PKGIAS20142CHK_PRIV_ACTVIAS;IAS_ACTV_PKGIAS20142GET_ACTV_NAMEIAS;IAS_AUDIT_PKG;IAS_AUDIT_PKGIAS20142AUDIT_PRCIA;IAS_AUD_SYS_PKG;IAS_AUD_SYS_PKGIAS20142ADD_DOC_DELIA;IAS_CC_CODE_PKG;IAS_CC_CODE_PKGIAS20142GET_CC_NAMEIA;IAS_CHECK_SYS_PKG;IAS_CHECK_SYS_PKGIAS20142CHECK_INV_CLOSE;IAS_CSHBNK_PKG;IAS_CSHBNK_PKGIAS20142CHECK_ACYI;IAS_CSHBNK_PKGIAS20142CHK_AC_CSH_BNK;IAS_CSHBNK_PKGIAS20142GET_CB_NAMEIAS;IAS_GEN_PKG;IAS_GEN_PKGIAS20142GET_CNTIA;IAS_GEN_PKGIAS20142GET_CURDATEIA;IAS_GEN_PKGIAS20142GET_CUR_RATEI;IAS_GEN_PKGIAS20142GET_DELETE_DOC_PERIOD;IAS_GEN_PKGIAS20142GET_FLD_VALUE;IAS_GEN_PKGIAS20142GET_PROMPTIAS;IAS_GEN_PKGIAS20142GET_STK_CURIA;IAS_GEN_PKGIAS20142GET_SYSDATEIA;IAS_GEN_PKGIAS20142GET_USR_NMIAS;IAS_GET_DOC_DEL_FNC;IAS_GET_ENC_PASS_FNC;IAS_GET_ENC_PASS_FNCIAS20142IAS_GET_ENC_PASS_FNC;IAS_ITM_INV_PKG;IAS_ITM_INV_PKGIAS20142GET_ITM_COSTI;IAS_ITM_INV_PKGIAS20142INSRT_GR_DTLI;IAS_ITM_INV_PKGIAS20142INSRT_GR_MSTI;IAS_ITM_INV_PKGIAS20142INSRT_IAS_ITM_WCODEIA,CREATE/SAVE;UPDATE;DELETE/VOID;POST;PRINT,FMX_STRING_EVIDENCE,oracle_forms/deep_catalog/form_field_trigger_catalog.jsonl
3433INVT011.fmx,INVENTORY,ONEX_INVENTORY_WINDOW_API,100,8,654,934,IAS_ACODE_PKG;IAS_ACODE_PKGIAS20142CHK_AC_CODE;IAS_ACODE_PKGIAS20142GET_AC_TYPE;IAS_ACODE_PKGIAS20142GET_A_NAMEI;IAS_ACODE_PKGIAS20142GET_CNT_ACY;IAS_ACODE_PKGIAS20142GET_ONE_ACY_ACI;IAS_ACTV_PKG;IAS_ACTV_PKGIAS20142CHK_ACTV;IAS_ACTV_PKGIAS20142CHK_PRIV_ACTVIAS;IAS_ACTV_PKGIAS20142GET_ACTV_NAMEIAS;IAS_AUD_SYS_PKG;IAS_AUD_SYS_PKGIAS20142ADD_DOC_DELIA;IAS_CC_CODE_PKG;IAS_CC_CODE_PKGIAS20142GET_CC_NAMEIA;IAS_CHECK_SYS_PKG;IAS_CHECK_SYS_PKGIAS20142CHECK_INV_CLOSE;IAS_CSHBNK_PKG;IAS_CSHBNK_PKGIAS20142CHECK_ACYI;IAS_CSHBNK_PKGIAS20142CHK_AC_CSH_BNK;IAS_CSHBNK_PKGIAS20142GET_CB_NAMEIAS;IAS_GEN_PKG;IAS_GEN_PKGIAS20142GET_CNTIA;IAS_GEN_PKGIAS20142GET_CURDATEIA;IAS_GEN_PKGIAS20142GET_CUR_RATEI;IAS_GEN_PKGIAS20142GET_FLD_VALUE;IAS_GEN_PKGIAS20142GET_PROMPTIAS;IAS_GEN_PKGIAS20142GET_STK_CURIA;IAS_GEN_PKGIAS20142GET_SYSDATEIA;IAS_GEN_PKGIAS20142GET_USR_NMIAS;IAS_GET_DOC_DEL_FNC;IAS_GET_ENC_PASS_FNC;IAS_GET_ENC_PASS_FNCIAS20142IAS_GET_ENC_PASS_FNC;IAS_ITM_INV_PKG;IAS_ITM_INV_PKGIAS20142GET_ITM_COSTI;IAS_ITM_INV_PKGIAS20142INSRT_GR_DTLI;IAS_ITM_INV_PKGIAS20142INSRT_GR_MSTI;IAS_ITM_INV_PKGIAS20142INSRT_IAS_ITM_WCODEIA;IAS_ITM_INV_PKGIAS20142INSRT_ITEM_MOVEIA;IAS_ITM_INV_PKGIAS20142INSRT_SALE_COSTIA;IAS_ITM_PKG,CREATE/SAVE;UPDATE;DELETE/VOID;POST;PRINT,FMX_STRING_EVIDENCE,oracle_forms/deep_catalog/form_field_trigger_catalog.jsonl
ADMHRST005.fmx,ADMIN,ONEX_ADMIN_WINDOW_API,50,8,431,605,IAS_BRN_PKG;IAS_BRN_PKGIAS20142GET_BR_NM;IAS_GEN_PKG;IAS_GEN_PKGIAS20142GET_MSGIA;IAS_GEN_PKGIAS20142GET_PROMPTIAS;IAS_GET_ENC_PASS_FNC;IAS_GET_ENC_PASS_FNCIAS20142IAS_GET_ENC_PASS_FNC;IAS_USR_PKG;IAS_USR_PKGIAS20142CHK_USR_FRM_PRVIA;IAS_USR_PKGIAS20142GET_USR_APPRV;IAS_USR_PKGIAS20142GET_USR_NMIAS;YS_EMP_PKG;YS_GEN_PKG;YS_GEN_PKGIAS20142CHK_INACTV_SYSTEMY;YS_GEN_PKGIAS20142GET_CNTYS_;YS_GEN_PKGIAS20142GET_CURDATEYS_;YS_GEN_PKGIAS20142GET_PROMPT;YS_GEN_PKGIAS20142GET_USR_FLD_PRVYS_;YS_SRL_SCR_PKG;YS_SRL_SCR_PKGIAS20142GET_SYS_SQ,CREATE/SAVE;UPDATE;DELETE/VOID;POST;PRINT,FMX_STRING_EVIDENCE,oracle_forms/deep_catalog/form_field_trigger_catalog.jsonl
ADMHRST006.fmx,ADMIN,ONEX_ADMIN_WINDOW_API,47,8,215,485,IAS_BRN_PKG;IAS_BRN_PKGIAS20142GET_BR_NM;IAS_GEN_PKG;IAS_GEN_PKGIAS20142GET_MSGIA;IAS_GEN_PKGIAS20142GET_PROMPTIAS;IAS_GET_ENC_PASS_FNC;IAS_GET_ENC_PASS_FNCIAS20142IAS_GET_ENC_PASS_FNC;IAS_USR_PKG;IAS_USR_PKGIAS20142CHK_USR_FRM_PRVIA;IAS_USR_PKGIAS20142GET_USR_APPRV;IAS_USR_PKGIAS20142GET_USR_NMIAS;YS_GEN_PKG;YS_GEN_PKGIAS20142CHK_INACTV_SYSTEMY;YS_GEN_PKGIAS20142CHK_LOCK_RCRDY;YS_GEN_PKGIAS20142GET_CURDATEYS_;YS_GEN_PKGIAS20142GET_PROMPT;YS_GEN_PKGIAS20142GET_USR_FLD_PRVYS_;YS_SRL_SCR_PKG;YS_SRL_SCR_PKGIAS20142GET_SYS_SQ,CREATE/SAVE;UPDATE;DELETE/VOID;POST;PRINT,FMX_STRING_EVIDENCE,oracle_forms/deep_catalog/form_field_trigger_catalog.jsonl
ADMI001.fmx,ADMIN,ONEX_ADMIN_WINDOW_API,36,8,158,437,IAS_GEN_PKG;IAS_GEN_PKGIAS20142GET_PROMPTIAS;IAS_GEN_PKGIAS20142GET_USR_NMIAS;IAS_GET_ENC_PASS_FNC;IAS_GET_ENC_PASS_FNCIAS20142IAS_GET_ENC_PASS_FNC;IAS_USR_PKG;IAS_USR_PKGIAS20142CHK_USR_FRM_PRVIA;IAS_USR_PKGIAS20142GET_USR_APPRV;IAS_USR_PKGIAS20142GET_USR_NMIAS;YS_GEN_PKG;YS_GEN_PKGIAS20142CHK_LOCK_RCRDY;YS_GEN_PKGIAS20142GET_USR_FLD_PRVYS_;YS_SRL_SCR_PKG;YS_SRL_SCR_PKGIAS20142GET_SYS_SQ,CREATE/SAVE;UPDATE;DELETE/VOID;POST;PRINT,FMX_STRING_EVIDENCE,oracle_forms/deep_catalog/form_field_trigger_catalog.jsonl
ADMI003.fmx,ADMIN,ONEX_ADMIN_WINDOW_API,119,8,624,997,IAS_BRN_PKG;IAS_DBS_SYS_PKG;IAS_DBS_SYS_PKGIAS20142CHECK_OBJECTI;IAS_DBS_SYS_PKGIAS20142CHECK_ST_OBJI;IAS_DBS_SYS_PKGIAS20142GET_COMMENTIA;IAS_DBS_SYS_PKGIAS20142GET_CONS_NAME;IAS_GEN_PKG;IAS_GEN_PKGIAS20142GET_FIELDSIAS;IAS_GEN_PKGIAS20142GET_FRM_NMIAS;IAS_GEN_PKGIAS20142GET_MSGIA;IAS_GEN_PKGIAS20142GET_PROMPTIAS;IAS_GET_ENC_PASS_FNC;IAS_GET_ENC_PASS_FNCIAS20142IAS_GET_ENC_PASS_FNC;IAS_USR_PKG;IAS_USR_PKGIAS20142CHK_USR_FRM_PRVIA;IAS_USR_PKGIAS20142GET_USR_APPRV;IAS_USR_PKGIAS20142GET_USR_NMIAS;YS_GEN_PKG;YS_GEN_PKGIAS20142CHK_ACTV_SYSTEMYS_;YS_GEN_PKGIAS20142CHK_LOCK_RCRDY;YS_GEN_PKGIAS20142GET_USR_FLD_PRVYS_;YS_SRL_SCR_PKG;YS_SRL_SCR_PKGIAS20142GET_SYS_SQ,CREATE/SAVE;UPDATE;DELETE/VOID;POST;PRINT,FMX_STRING_EVIDENCE,oracle_forms/deep_catalog/form_field_trigger_catalog.jsonl
ADMI004.fmx,ADMIN,ONEX_ADMIN_WINDOW_API,30,8,244,349,IAS_GET_ENC_PASS_FNC;IAS_GET_ENC_PASS_FNCIAS20142IAS_GET_ENC_PASS_FNC;IAS_USR_PKG;IAS_USR_PKGIAS20142CHK_USR_FRM_PRVIA;IAS_USR_PKGIAS20142GET_USR_APPRV;IAS_USR_PKGIAS20142GET_USR_NMIAS;YS_GEN_PKG;YS_GEN_PKGIAS20142GET_USR_FLD_PRVYS_,CREATE/SAVE;UPDATE;DELETE/VOID;POST;PRINT,FMX_STRING_EVIDENCE,oracle_forms/deep_catalog/form_field_trigger_catalog.jsonl
