window,package_name,category,spec,body,triggers,status,observed_procedures,observed_triggers,observed_tables,risks,required_before_compile
222INVT011.fmx,RB_F_222INVT011_863FC,other,plsql_specs/222INVT011.pks.sql,plsql_bodies/222INVT011.pkb.sql,forms_triggers/222INVT011.triggers.sql,scaffold_only,67,12,280,"credentials,ddl_privilege,destructive,dynamic_sql,windows_native",exact PKS/PKB/DDL/FMB mapping
22355INVT011.fmx,RB_F_22355INVT011_9F423,other,plsql_specs/22355INVT011.pks.sql,plsql_bodies/22355INVT011.pkb.sql,forms_triggers/22355INVT011.triggers.sql,scaffold_only,56,9,218,"credentials,ddl_privilege,destructive,windows_native",exact PKS/PKB/DDL/FMB mapping
2FNGI008.fmx,RB_F_2FNGI008_9CFB9,other,plsql_specs/2FNGI008.pks.sql,plsql_bodies/2FNGI008.pkb.sql,forms_triggers/2FNGI008.triggers.sql,scaffold_only,43,8,221,"credentials,ddl_privilege,destructive,dynamic_sql,windows_native",exact PKS/PKB/DDL/FMB mapping
33INVT011.fmx,RB_F_33INVT011_0313A,other,plsql_specs/33INVT011.pks.sql,plsql_bodies/33INVT011.pkb.sql,forms_triggers/33INVT011.triggers.sql,scaffold_only,56,9,223,"credentials,ddl_privilege,destructive,dynamic_sql,windows_native",exact PKS/PKB/DDL/FMB mapping
3433INVT011.fmx,RB_F_3433INVT011_71304,other,plsql_specs/3433INVT011.pks.sql,plsql_bodies/3433INVT011.pkb.sql,forms_triggers/3433INVT011.triggers.sql,scaffold_only,50,10,207,"credentials,destructive,windows_native",exact PKS/PKB/DDL/FMB mapping
ADMHRST005.fmx,RB_ADMHRST005_C7868,admin/system,plsql_specs/ADMHRST005.pks.sql,plsql_bodies/ADMHRST005.pkb.sql,forms_triggers/ADMHRST005.triggers.sql,scaffold_only,41,12,136,"credentials,ddl_privilege,destructive,windows_native",exact PKS/PKB/DDL/FMB mapping
ADMHRST006.fmx,RB_ADMHRST006_BF4E9,admin/system,plsql_specs/ADMHRST006.pks.sql,plsql_bodies/ADMHRST006.pkb.sql,forms_triggers/ADMHRST006.triggers.sql,scaffold_only,39,10,101,"credentials,ddl_privilege,destructive,windows_native",exact PKS/PKB/DDL/FMB mapping
ADMI001.fmx,RB_ADMI001_FDB1B,admin/system,plsql_specs/ADMI001.pks.sql,plsql_bodies/ADMI001.pkb.sql,forms_triggers/ADMI001.triggers.sql,scaffold_only,33,8,73,"credentials,ddl_privilege,destructive,windows_native,session_control",exact PKS/PKB/DDL/FMB mapping
ADMI003.fmx,RB_ADMI003_05693,admin/system,plsql_specs/ADMI003.pks.sql,plsql_bodies/ADMI003.pkb.sql,forms_triggers/ADMI003.triggers.sql,scaffold_only,108,8,360,"credentials,ddl_privilege,destructive,windows_native",exact PKS/PKB/DDL/FMB mapping
ADMI004.fmx,RB_ADMI004_A3D7F,admin/system,plsql_specs/ADMI004.pks.sql,plsql_bodies/ADMI004.pkb.sql,forms_triggers/ADMI004.triggers.sql,scaffold_only,32,8,53,"credentials,ddl_privilege,destructive,windows_native",exact PKS/PKB/DDL/FMB mapping
