source,reference,resolved,status
64-bit-dll/NN60.DLL,CA60.dll,,unresolved
64-bit-dll/NN60.DLL,CORE40.dll,,unresolved
64-bit-dll/NN60.DLL,DE60.dll,,unresolved
64-bit-dll/NN60.DLL,KERNEL32.dll,,unresolved
64-bit-dll/NN60.DLL,NLSRTL33.dll,,unresolved
64-bit-dll/NN60.DLL,UIW60.DLL,,unresolved
64-bit-dll/NN60.DLL,USER32.dll,,unresolved
64-bit-dll/NN60.DLL,kernel32.dll,,unresolved
64-bit-dll/NN60.DLL,mmc60.dll,,unresolved
64-bit-dll/NN60.DLL,nn60.dll,/home/ubuntu/work_ar_audit/lib_source/Lib/64-bit-dll/NN60.DLL,resolved
64-bit-dll/NN60.DLL,user32.dll,,unresolved
64-bit-dll/NNB60.DLL,CA60.dll,,unresolved
64-bit-dll/NNB60.DLL,CORE40.dll,,unresolved
64-bit-dll/NNB60.DLL,DEB60.dll,,unresolved
64-bit-dll/NNB60.DLL,KERNEL32.dll,,unresolved
64-bit-dll/NNB60.DLL,NLSRTL33.dll,,unresolved
64-bit-dll/NNB60.DLL,UIW60.DLL,,unresolved
64-bit-dll/NNB60.DLL,USER32.dll,,unresolved
64-bit-dll/NNB60.DLL,kernel32.dll,,unresolved
64-bit-dll/NNB60.DLL,mmc60.dll,,unresolved
64-bit-dll/NNB60.DLL,nnb60.dll,/home/ubuntu/work_ar_audit/lib_source/Lib/64-bit-dll/NNB60.DLL,resolved
64-bit-dll/NNB60.DLL,user32.dll,,unresolved
APSI009.fmx,YSERP_MNU.MMX,/home/ubuntu/work_ar_audit/lib_source/Lib/YSERP_MNU.mmx,resolved
APST015.fmx,YSERP_MNU.MMX,/home/ubuntu/work_ar_audit/lib_source/Lib/YSERP_MNU.mmx,resolved
APST015.fmx,Ys_Itm_Trns.Fmx,,unresolved
HRSS031.fmx,YSERP_MNU.MMX,/home/ubuntu/work_ar_audit/lib_source/Lib/YSERP_MNU.mmx,resolved
IASLIBSEC.plx,HardDiskSerial.exe,,unresolved
IASLIBSEC.plx,IASLIBSEC.plx,/home/ubuntu/work_ar_audit/lib_source/Lib/IASLIBSEC.plx,resolved
IASLIBSEC.plx,crc.fmx,,unresolved
IASLIBSEC.plx,md5.fmx,,unresolved
MRPDBA.plx,MRPSFC025.FMX,,unresolved
TransferToMTN.exe,TransferToMTN.exe,/home/ubuntu/work_ar_audit/lib_source/Lib/TransferToMTN.exe,resolved
TransferToMTN.exe,mscoree.dll,,unresolved
YSComUsb.dll,ADVAPI32.dll,,unresolved
YSComUsb.dll,COMCTL32.DLL,,unresolved
YSComUsb.dll,COMCTL32.dll,,unresolved
YSComUsb.dll,GDI32.dll,,unresolved
YSComUsb.dll,KERNEL32.dll,,unresolved
YSComUsb.dll,OLEAUT32.dll,,unresolved
YSComUsb.dll,SHELL32.dll,,unresolved
YSComUsb.dll,USER32.dll,,unresolved
YSComUsb.dll,YSComUsb.DLL,/home/ubuntu/work_ar_audit/lib_source/Lib/YSComUsb.dll,resolved
YSComUsb.dll,YSComUsb.dll,/home/ubuntu/work_ar_audit/lib_source/Lib/YSComUsb.dll,resolved
YSComUsb.dll,comdlg32.dll,,unresolved
YSComUsb.dll,ole32.dll,,unresolved
YSComUsb.dll,oledlg.dll,,unresolved
YSComUsb.dll,user32.dll,,unresolved
YSERP_LIB.plx,ADMT030.FMX,,unresolved
YSERP_LIB.plx,APSI002.fmx,,unresolved
YSERP_LIB.plx,ARSI005.fmx,,unresolved
YSERP_LIB.plx,ERP_APPRVD_SCR.FMX,,unresolved
YSERP_LIB.plx,ERP_INACTV_SCR.FMX,,unresolved
YSERP_LIB.plx,ERP_JOURNAL.Fmx,,unresolved
YSERP_LIB.plx,ERP_SCR.FMX,,unresolved
YSERP_LIB.plx,ERP_VRFY_SCR.FMX,,unresolved
YSERP_LIB.plx,FASI004.fmx,,unresolved
YSERP_LIB.plx,FAS_AS_TRNS.fmx,,unresolved
YSERP_LIB.plx,GENS012.fmx,,unresolved
YSERP_LIB.plx,GLSI001.fmx,,unresolved
YSERP_LIB.plx,GLSI003.fmx,,unresolved
YSERP_LIB.plx,INVI006.fmx,,unresolved
YSERP_LIB.plx,INVI008.fmx,,unresolved
YSERP_LIB.plx,YS_EMP_TRNS.fmx,,unresolved
YSERP_LIB.plx,Ys_ExpToxls.exe,,unresolved
YSERP_LIB.plx,hh.exe,,unresolved
YSPOS_LIB.plx,ADMT030.FMX,,unresolved
YSPOS_LIB.plx,ERP_APPRVD_SCR.FMX,,unresolved
YSPOS_LIB.plx,ERP_INACTV_SCR.FMX,,unresolved
YSPOS_LIB.plx,ERP_JOURNAL.Fmx,,unresolved
YSPOS_LIB.plx,ERP_SCR.FMX,,unresolved
YSPOS_LIB.plx,ERP_VRFY_SCR.FMX,,unresolved
YSPOS_LIB.plx,FASI004.fmx,,unresolved
YSPOS_LIB.plx,IASAPI002.fmx,,unresolved
YSPOS_LIB.plx,IASARI005.fmx,,unresolved
YSPOS_LIB.plx,IASGLI001.fmx,,unresolved
YSPOS_LIB.plx,IASGLI003.fmx,,unresolved
YSPOS_LIB.plx,INVI006.fmx,,unresolved
YSPOS_LIB.plx,INVI008.fmx,,unresolved
YSPOS_LIB.plx,POST001.FMX,,unresolved
YSPOS_LIB.plx,Ys_ExpToxls.exe,,unresolved
YSPOS_LIB.plx,hh.exe,,unresolved
YSPOS_MNU.mmx,POST006.FMX,,unresolved
YSPOS_MNU.mmx,POST010.FMX,,unresolved
YSPOS_MNU.mmx,POST016.FMX,,unresolved
YSPOS_MNU.mmx,POST017.FMX,,unresolved
YsErpSYs.dll,ADVAPI32.dll,,unresolved
YsErpSYs.dll,COMCTL32.DLL,,unresolved
YsErpSYs.dll,COMCTL32.dll,,unresolved
YsErpSYs.dll,GDI32.dll,,unresolved
YsErpSYs.dll,KERNEL32.dll,,unresolved
YsErpSYs.dll,OLEAUT32.dll,,unresolved
YsErpSYs.dll,SHELL32.dll,,unresolved
YsErpSYs.dll,USER32.dll,,unresolved
YsErpSYs.dll,WTSAPI32.dll,,unresolved
YsErpSYs.dll,WtsExtn.DLL,,unresolved
YsErpSYs.dll,WtsExtn.dll,,unresolved
YsErpSYs.dll,comdlg32.dll,,unresolved
YsErpSYs.dll,ole32.dll,,unresolved
YsErpSYs.dll,user32.dll,,unresolved
YsGoogleMap.ocx,MSVBVM60.DLL,,unresolved
YsGoogleMap.ocx,VBA6.DLL,,unresolved
YsGoogleMap.ocx,YsGoogleMap.ocx,/home/ubuntu/work_ar_audit/lib_source/Lib/YsGoogleMap.ocx,resolved
YsGoogleMap.ocx,advapi32.dll,,unresolved
YsGoogleMap.ocx,ieframe.dll,,unresolved
d2kwut60.dll,ADVAPI32.dll,,unresolved
d2kwut60.dll,D2KWUT60.DLL,/home/ubuntu/work_ar_audit/lib_source/Lib/d2kwut60.dll,resolved
d2kwut60.dll,GDI32.dll,,unresolved
d2kwut60.dll,KERNEL32.DLL,,unresolved
d2kwut60.dll,KERNEL32.dll,,unresolved
d2kwut60.dll,MPR.dll,,unresolved
d2kwut60.dll,SHELL32.dll,,unresolved
d2kwut60.dll,USER32.dll,,unresolved
d2kwut60.dll,WINMM.dll,,unresolved
d2kwut60.dll,comdlg32.dll,,unresolved
d2kwut60.dll,d2kwut60.dll,/home/ubuntu/work_ar_audit/lib_source/Lib/d2kwut60.dll,resolved
d2kwut60.dll,user32.dll,,unresolved
d2kwutil.pll,D2KWUT60.DLL,/home/ubuntu/work_ar_audit/lib_source/Lib/d2kwut60.dll,resolved
d2kwutil.pll,D2KWUTIL.PLL,/home/ubuntu/work_ar_audit/lib_source/Lib/d2kwutil.pll,resolved
d2kwutil.pll,F45RUN32.EXE,,unresolved
d2kwutil.pll,WINHELP.EXE,,unresolved
d2kwutil.plx,D2KWUT60.DLL,/home/ubuntu/work_ar_audit/lib_source/Lib/d2kwut60.dll,resolved
d2kwutil.plx,D2KWUTIL.PLL,/home/ubuntu/work_ar_audit/lib_source/Lib/d2kwutil.pll,resolved
d2kwutil.plx,WINHELP.EXE,,unresolved
